DataPointNumber,DataPointValue,AnomalyScore,DateTime
14,1.4471772304323032,0.12421841518466903,2023-11-15 13:34:25
39,-1.2301566265196566,0.16693931547897234,2023-11-15 13:34:25
48,-0.9068770917273944,0.005197422393050433,2023-11-15 13:34:25
49,-1.0602131488462807,0.08760705104795508,2023-11-15 13:34:25
51,-1.0548912451223018,0.08609175197510499,2023-11-15 13:34:25
52,-1.3601756407789551,0.21323876165927214,2023-11-15 13:34:25
60,-0.3435917779833325,0.01693364848501866,2023-11-15 13:34:25
75,1.6129170637727936,0.21373672043762115,2023-11-15 13:34:25
78,1.386391939573839,0.10449740286471865,2023-11-15 13:34:25
87,1.2257235505410597,0.03391546881811969,2023-11-15 13:34:25
113,1.4471772304323032,0.13230565987896048,2023-11-15 13:34:25
138,-1.2301566265196566,0.16785171330520854,2023-11-15 13:34:25
147,-0.9068770917273944,0.0035724844770566033,2023-11-15 13:34:25
148,-1.0602131488462807,0.08829904948448641,2023-11-15 13:34:25
150,-1.0548912451223018,0.08678429763990714,2023-11-15 13:34:25
151,-1.3601756407789551,0.21415115948550834,2023-11-15 13:34:25
159,-0.3435917779833325,0.009969524700553678,2023-11-15 13:34:25
174,1.6129170637727936,0.21403912458754715,2023-11-15 13:34:25
177,1.386391939573839,0.11281361501837106,2023-11-15 13:34:25
186,1.2257235505410597,0.03070089596110892,2023-11-15 13:34:25
210,1.1987185900161188,4.9759346895550394e-05,2023-11-15 13:34:25
212,1.4471772304323032,0.12207840024440064,2023-11-15 13:34:25
237,-1.2301566265196566,0.1667370325762314,2023-11-15 13:34:25
246,-0.9068770917273944,0.0027813518224757416,2023-11-15 13:34:25
247,-1.0602131488462807,0.08775559933752941,2023-11-15 13:34:25
249,-1.0548912451223018,0.08624084749295013,2023-11-15 13:34:25
250,-1.3601756407789551,0.21360770933855133,2023-11-15 13:34:25
273,1.6129170637727936,0.20630460378827453,2023-11-15 13:34:25
276,1.386391939573839,0.11080334375158951,2023-11-15 13:34:25
285,1.2257235505410597,0.042338254948250054,2023-11-15 13:34:25
311,1.4471772304323032,0.12254503887661838,2023-11-15 13:34:25
336,-1.2301566265196566,0.16304347888399784,2023-11-15 13:34:25
345,-0.9068770917273944,0.0002788050643928175,2023-11-15 13:34:25
346,-1.0602131488462807,0.08395720845377874,2023-11-15 13:34:25
348,-1.0548912451223018,0.08244271690880878,2023-11-15 13:34:25
349,-1.3601756407789551,0.20991415564631777,2023-11-15 13:34:25
357,-0.3435917779833325,0.0014520517644488473,2023-11-15 13:34:25
